시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,상세주소,정원,현원,위도,경도,데이터기준일자
용산구,11170000140,용산구청직장어린이집,직장,정상,서울특별시 용산구 녹사평대로 150 종합행정타운 1층 (이태원동),73,47,37.53244208,126.9903466,2026-07-01
용산구,11170000141,맘앤키즈어린이집,가정,정상,"서울특별시 용산구 효창원로 17 107동 105호(산천동, 삼성리버힐아파트)",20,17,37.53487888,126.9508027,2026-07-01
용산구,11170000127,한강로어린이집,국공립,정상,서울특별시 용산구 서빙고로 35 111호~113호(용산시티파크1단지),58,54,37.52467325739871,126.96874305038246,2026-07-01
용산구,11170000128,국방부청사어린이집,직장,정상,서울특별시 용산구 이태원로 22 국방부 (용산동3가),220,137,37.53358278,126.9776714,2026-07-01
용산구,11170000126,예꿈어린이집,가정,정상,서울특별시 용산구 이촌로 347 1동 102호,19,18,37.5190384636,126.9896383594,2026-07-01
용산구,11170000124,늘해랑어린이집,가정,정상,"서울특별시 용산구 이촌로29길 21-7 103동 102호(한강로3가, 우림필유아파트)",20,19,37.52546826,126.9597476,2026-07-01
용산구,11170000119,아이제일어린이집,직장,정상,서울특별시 용산구 이태원로49길 24-7 아이제일어린이집 (한남동),45,20,37.53746496,126.9992936,2026-07-01
용산구,11170000118,하연어린이집,가정,정상,서울특별시 용산구 효창원로86라길 31-10 현대휴먼101호 (청파동1가),18,3,37.548094,126.9666963,2026-07-01
용산구,11170000112,누리터어린이집,가정,정상,"서울특별시 용산구 백범로90길 74 102동 102호(문배동, 용산이안아파트)",20,19,37.5367195,126.9685765,2026-07-01
용산구,11170000109,영주어린이집,민간,정상,서울특별시 용산구 두텁바위로 91 (후암동),72,48,37.54743044,126.9816898,2026-07-01
용산구,11170000038,한남어린이집,국공립,정상,서울특별시 용산구 대사관로5길 1 (한남동),55,43,37.53453304,127.0004722,2026-07-01
용산구,11170000091,완두콩어린이집,가정,정상,서울특별시 용산구 청파로71길 58 아이딜아파트 101호 (청파동1가),19,1,37.54942454,126.9669722,2026-07-01
용산구,11170000036,백송어린이집,국공립,정상,서울특별시 용산구 효창원로76길 25-6,79,52,37.54354693,126.9633574,2026-07-01
용산구,11170000007,소월어린이집,국공립,정상,서울특별시 용산구 신흥로18길 3-5,55,15,37.54613603,126.9858175,2026-07-01
용산구,11170000079,신태양 어린이집,민간,정상,서울특별시 용산구 만리재로 178 (서계동),39,25,37.55399714,126.9660274,2026-07-01
용산구,11170000080,새랑꿈이랑 어린이집,민간,정상,서울특별시 용산구 새창로 70 삼성래미안아파트 단지내 (도원동),117,42,37.5383072,126.9552593,2026-07-01
용산구,11170000100,효창방과후어린이집,법인?단체등,재개,서울특별시 용산구 효창원로 146-12,20,20,37.54123427,126.9629821,2026-07-01
용산구,11170000077,새꿈어린이집,국공립,정상,서울특별시 용산구 후암로57길 26 (동자동),45,41,37.55238518,126.9733573,2026-07-01
용산구,11170000073,새날어린이집,민간,정상,서울특별시 용산구 새창로8길 7 삼성래미안아파트 2단지내 관리동1층 (도원동),31,29,37.53910754817625,126.95548449024952,2026-07-01
용산구,11170000026,솔어린이집,국공립,정상,서울특별시 용산구 장문로 95 (보광동),52,24,37.52630015,127.0001453,2026-07-01
용산구,11170000069,반석어린이집,민간,정상,서울특별시 용산구 효창원로 178 (청파동3가),32,18,37.54361561,126.9626628,2026-07-01
용산구,11170000060,꿈밭어린이집,민간,정상,서울특별시 용산구 이촌로81길 34 꿈밭어린이집,60,38,37.52000465,126.9786745,2026-07-01
용산구,11170000054,꿈동이어린이집,가정,정상,"서울특별시 용산구 이촌로87길 21 101동 101호(이촌동, 이촌코오롱)",20,18,37.52000465,126.9786745,2026-07-01
용산구,11170000063,효창어린이집,민간,정상,서울특별시 용산구 효창원로69길 14-3 (효창동),84,25,37.541564620744175,126.9606908669794,2026-07-01
용산구,11170000051,이태원삼성어린이집,민간,정상,서울특별시 용산구 이태원로27길 34-30,65,46,37.53532514,126.9953858,2026-07-01
용산구,11170000010,새싹어린이집,국공립,정상,서울특별시 용산구 원효로67길 13 (원효로2가),52,34,37.53756691,126.9638906,2026-07-01
용산구,11170000094,엘지유플러스어린이집,직장,정상,서울특별시 용산구 한강로3가 한강대로 32,39,18,37.52384284000428,126.9635283068631,2026-07-01
용산구,11170000008,용산교회어린이집,법인?단체등,정상,서울특별시 용산구 원효로1가 백범로77길 36,30,20,37.53982444,126.9655838,2026-07-01
용산구,11170000059,상록어린이집,민간,정상,서울특별시 용산구 백범로45길 4 (효창동),99,68,37.54095702,126.9583035,2026-07-01
용산구,11170000022,도원어린이집,국공립,정상,서울특별시 용산구 효창원로37마길 8 도원어린이집 (용문동),70,58,37.53825626,126.9585708,2026-07-01
용산구,11170000009,후암어린이집,국공립,정상,서울특별시 용산구 두텁바위로1길 86 (후암동),86,60,37.54765193,126.9758361,2026-07-01
용산구,11170000023,해방어린이집,국공립,정상,서울특별시 용산구 소월로20길 43 해방어린이집 (용산동2가),86,60,37.54428402,126.9851444,2026-07-01
용산구,11170000012,절제어린이집,사회복지법인,정상,서울특별시 용산구 후암로57길 57 (동자동),37,11,37.55092073,126.9741571,2026-07-01
용산구,11170000014,원효어린이집,국공립,정상,서울특별시 용산구 원효로41가길 14-19,89,18,37.53480088,126.9566433,2026-07-01
용산구,11170000011,청파어린이집,국공립,정상,서울특별시 용산구 청파로49길 19 (청파동2가),84,33,37.54528251,126.9690391,2026-07-01
용산구,11170000027,동빙고어린이집,국공립,정상,서울특별시 용산구 녹사평대로14길 7 (동빙고동),116,79,37.52357987,126.9939889,2026-07-01
용산구,11170000020,이촌어린이집,국공립,정상,서울특별시 용산구 이촌로14길 11-22,104,47,37.52707429558434,126.9544762958136,2026-07-01
용산구,11170000019,이태원어린이집,국공립,정상,서울특별시 용산구 녹사평대로40나길 38-3,54,36,37.53627931,126.9888363,2026-07-01
용산구,11170000005,서계어린이집,국공립,정상,서울특별시 용산구 청파로93길 25 서계어린이집,84,53,37.55352595,126.9682985,2026-07-01
용산구,11170000021,용산어린이집,국공립,정상,서울특별시 용산구 한강로2가 한강대로38길 28 용산어린이집,97,92,37.528142242670505,126.96922807094676,2026-07-01
